Rk,Tm,G,W,L,W-L%,PF,PA,PD,Starting QB(s)
1,Pittsburgh Steelers,8,6,2,.750,193,164,+29,Terry Bradshaw (4-0) Neil O'Donnell (0-1) Ben Roethlisberger (2-1)
2,New England Patriots,7,3,4,.545,246,282,-36,Drew Bledsoe (0-1) Tom Brady (6-3) Tony Eason (0-1)
3,San Francisco 49ers,6,5,1,.833,219,123,+96,Colin Kaepernick (0-1) Joe Montana (4-0) Steve Young (1-0)
4,Dallas Cowboys,8,5,3,.625,221,132,+89,Troy Aikman (3-0) Craig Morton (0-1) Roger Staubach (2-2)
5,Green Bay Packers,5,4,1,.800,158,101,+57,Brett Favre (1-1) Aaron Rodgers (1-0) Bart Starr (2-0)
6,New York Giants,5,4,1,.800,104,104,0,Kerry Collins (0-1) Jeff Hostetler (1-0) Eli Manning (2-0) Phil Simms (1-0)
7,Oakland Raiders,5,3,2,.600,132,114,+18,Rich Gannon (0-1) Daryle Lamonica (0-1) Jim Plunkett (2-0) Ken Stabler (1-0)
8,Washington Redskins,5,3,2,.600,122,103,+19,Billy Kilmer (0-1) Mark Rypien (1-0) Joe Theismann (1-1) Doug Williams (1-0)
9,Denver Broncos,7,2,5,.375,147,259,-112,John Elway (2-3) Peyton Manning (1-1) Craig Morton (0-1)
10,Baltimore Ravens,2,2,0,1.000,68,38,+30,Trent Dilfer (1-0) Joe Flacco (1-0)
11,Indianapolis Colts,4,2,2,.500,69,77,-8,Peyton Manning (1-1) Earl Morrall (0-1) Johnny Unitas (1-0)
12,Miami Dolphins,5,2,3,.400,74,103,-29,Bob Griese (2-1) Dan Marino (0-1) David Woodley (0-1)
13,New Orleans Saints,1,1,0,1.000,31,17,+14,Drew Brees (1-0)
14,New York Jets,1,1,0,1.000,16,7,+9,Joe Namath (1-0)
15,Tampa Bay Buccaneers,1,1,0,1.000,48,21,+27,Brad Johnson (1-0)
16,Chicago Bears,2,1,1,.500,63,39,+24,Rex Grossman (0-1) Jim McMahon (1-0)
17,Kansas City Chiefs,2,1,1,.500,33,42,-9,Len Dawson (1-1)
18,Philadelphia Eagles,2,0,2,.333,72,84,-12,Nick Foles (1-0) Ron Jaworski (0-1) Donovan McNabb (0-1)
19,Seattle Seahawks,2,1,1,.333,77,57,+20,Matt Hasselbeck (0-1) Russell Wilson (1-1)
20,St Louis Rams,3,1,2,.250,62,80,-18,Vince Ferragamo (0-1) Jared Goff (0-1) Kurt Warner (1-1)
21,Buffalo Bills,4,0,4,.000,73,139,-66,Jim Kelly (0-4)
22,Minnesota Vikings,4,0,4,.000,34,95,-61,Joe Kapp (0-1) Fran Tarkenton (0-3)
23,Atlanta Falcons,1,0,1,.000,47,68,-21,Chris Chandler (0-1) Matt Ryan (0-1)
24,Carolina Panthers,1,0,1,.000,39,56,-17,Jake Delhomme (0-1) Cam Newton (0-1)
25,Cincinnati Bengals,2,0,2,.000,37,46,-9,Ken Anderson (0-1) Boomer Esiason (0-1)
26,Arizona Cardinals,1,0,1,.000,23,27,-4,Kurt Warner (0-1)
27,Tennessee Titans,1,0,1,.000,16,23,-7,Steve McNair (0-1)
28,San Diego Chargers,1,0,1,.000,26,49,-23,Stan Humphries (0-1)
